IN3,IN2,IN1,IN0,PP,PG,VP,VG,R4,Slope,Anomaly,AffectedComponent,Situation,OperationalScenario,CombinedAffectedComponent,CombinedSituation
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9985,-0.02127659574468085,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,-0.031914893617021274,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9989,0.031914893617021274,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.010526315789473684,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9985,-0.0425531914893617,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9989,0.031578947368421054,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.010752688172043012,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9989,0.0425531914893617,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,-0.031914893617021274,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,-0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.010638297872340425,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,-0.030612244897959183,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9986,0.0,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9987,0.01020408163265306,No,None,Normal,Normal,None,Normal
0,0,0,0,0,0,0,0,9985,-0.010101010101010102,No,None,Normal,Normal,None,Normal
